==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 181651.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.800000]
-------------------------------------------
Round[52]: Size[1715×5257], Iteration[50], Unexplained part[115116.676469], Percentage[63.372443%], delta%=[1.746080%]
Round[53]: Size[1715×5257], Iteration[50], Unexplained part[111528.671849], Percentage[61.397224%], delta%=[1.975219%]
Round[54]: Size[4×5257], Iteration[50], Unexplained part[111478.315625], Percentage[61.369503%], delta%=[0.027721%]
Round[55]: Size[4×5257], Iteration[50], Unexplained part[111372.624656], Percentage[61.311319%], delta%=[0.058184%]
Round[56]: Size[1715×5257], Iteration[50], Unexplained part[99484.803220], Percentage[54.767000%], delta%=[6.544319%]
Round[57]: Size[4×5257], Iteration[50], Unexplained part[99236.407585], Percentage[54.630257%], delta%=[0.136743%]
Round[58]: Size[1715×5257], Iteration[50], Unexplained part[95563.968859], Percentage[52.608556%], delta%=[2.021700%]
Round[59]: Size[1715×5257], Iteration[50], Unexplained part[92968.878412], Percentage[51.179943%], delta%=[1.428613%]
Round[60]: Size[1715×5257], Iteration[50], Unexplained part[90048.622658], Percentage[49.572324%], delta%=[1.607619%]
Round[61]: Size[1715×5257], Iteration[50], Unexplained part[84036.082857], Percentage[46.262384%], delta%=[3.309940%]
Round[62]: Size[1715×5257], Iteration[50], Unexplained part[81920.160687], Percentage[45.097556%], delta%=[1.164828%]
Round[63]: Size[3×5257], Iteration[50], Unexplained part[81489.268018], Percentage[44.860346%], delta%=[0.237209%]
Round[64]: Size[1715×5257], Iteration[50], Unexplained part[79456.404323], Percentage[43.741242%], delta%=[1.119104%]
Round[65]: Size[4×5257], Iteration[50], Unexplained part[79421.396238], Percentage[43.721970%], delta%=[0.019272%]
Round[66]: Size[3×5257], Iteration[50], Unexplained part[79273.531846], Percentage[43.640570%], delta%=[0.081400%]
Round[67]: Size[4×5257], Iteration[50], Unexplained part[79246.199826], Percentage[43.625524%], delta%=[0.015046%]
Round[68]: Size[4×5257], Iteration[50], Unexplained part[79232.646343], Percentage[43.618062%], delta%=[0.007461%]
Round[69]: Size[1715×5257], Iteration[50], Unexplained part[76830.345331], Percentage[42.295581%], delta%=[1.322482%]
Round[70]: Size[1715×5257], Iteration[50], Unexplained part[75199.784532], Percentage[41.397947%], delta%=[0.897634%]
Round[71]: Size[3×5257], Iteration[50], Unexplained part[75112.632580], Percentage[41.349969%], delta%=[0.047978%]
Round[72]: Size[1715×5257], Iteration[50], Unexplained part[73542.211118], Percentage[40.485442%], delta%=[0.864527%]
Round[73]: Size[4×5257], Iteration[50], Unexplained part[73397.564803], Percentage[40.405814%], delta%=[0.079629%]
Round[74]: Size[1715×5257], Iteration[50], Unexplained part[70207.835874], Percentage[38.649848%], delta%=[1.755966%]
Round[75]: Size[1715×5257], Iteration[50], Unexplained part[68760.951995], Percentage[37.853330%], delta%=[0.796519%]
Round[76]: Size[1715×5257], Iteration[50], Unexplained part[67278.006540], Percentage[37.036959%], delta%=[0.816371%]
Round[77]: Size[1715×5257], Iteration[50], Unexplained part[65785.827298], Percentage[36.215505%], delta%=[0.821454%]
Round[78]: Size[4×5257], Iteration[50], Unexplained part[65569.561186], Percentage[36.096449%], delta%=[0.119056%]
Round[79]: Size[3×5257], Iteration[50], Unexplained part[65526.925879], Percentage[36.072978%], delta%=[0.023471%]
Round[80]: Size[7×5257], Iteration[50], Unexplained part[65212.253842], Percentage[35.899749%], delta%=[0.173229%]
Round[81]: Size[1715×5257], Iteration[50], Unexplained part[63864.525646], Percentage[35.157817%], delta%=[0.741933%]
Round[82]: Size[1715×5257], Iteration[50], Unexplained part[62579.387128], Percentage[34.450340%], delta%=[0.707477%]
Round[83]: Size[4×5257], Iteration[50], Unexplained part[62560.203428], Percentage[34.439779%], delta%=[0.010561%]
Round[84]: Size[4×5257], Iteration[50], Unexplained part[62376.939989], Percentage[34.338892%], delta%=[0.100888%]
