==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 85132.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[1.000000]
-------------------------------------------
Round[1]: Size[2071×1642], Iteration[28], Unexplained part[50047.458241], Percentage[58.788068%], delta%=[41.211932%]
Round[2]: Size[2071×1642], Iteration[14], Unexplained part[38206.735403], Percentage[44.879405%], delta%=[13.908663%]
Round[3]: Size[2071×1642], Iteration[13], Unexplained part[35487.713200], Percentage[41.685516%], delta%=[3.193890%]
Round[4]: Size[2071×1642], Iteration[13], Unexplained part[33628.373265], Percentage[39.501449%], delta%=[2.184067%]
Round[5]: Size[2071×1642], Iteration[16], Unexplained part[32058.552496], Percentage[37.657464%], delta%=[1.843984%]
Round[6]: Size[2071×1642], Iteration[11], Unexplained part[30867.824995], Percentage[36.258780%], delta%=[1.398684%]
Round[7]: Size[2071×4], Iteration[34], Unexplained part[30776.688399], Percentage[36.151727%], delta%=[0.107053%]
Round[8]: Size[2071×1642], Iteration[11], Unexplained part[29567.377544], Percentage[34.731215%], delta%=[1.420513%]
Round[9]: Size[2071×1642], Iteration[13], Unexplained part[28547.640445], Percentage[33.533384%], delta%=[1.197831%]
Round[10]: Size[2071×1642], Iteration[11], Unexplained part[27566.522183], Percentage[32.380917%], delta%=[1.152467%]
Round[11]: Size[2071×1642], Iteration[13], Unexplained part[26657.558300], Percentage[31.313206%], delta%=[1.067711%]
Round[12]: Size[2071×1642], Iteration[11], Unexplained part[25800.046403], Percentage[30.305932%], delta%=[1.007273%]
Round[13]: Size[2071×1642], Iteration[10], Unexplained part[25023.459129], Percentage[29.393717%], delta%=[0.912215%]
Round[14]: Size[2071×10], Iteration[28], Unexplained part[24916.423351], Percentage[29.267988%], delta%=[0.125729%]
Round[15]: Size[2071×16], Iteration[26], Unexplained part[24795.583612], Percentage[29.126044%], delta%=[0.141944%]
Round[16]: Size[2071×1642], Iteration[11], Unexplained part[23968.983738], Percentage[28.155081%], delta%=[0.970963%]
Round[17]: Size[2071×1642], Iteration[11], Unexplained part[23240.215929], Percentage[27.299037%], delta%=[0.856045%]
Round[18]: Size[2071×1642], Iteration[12], Unexplained part[22479.884729], Percentage[26.405916%], delta%=[0.893120%]
Round[19]: Size[2071×1642], Iteration[10], Unexplained part[21736.050139], Percentage[25.532174%], delta%=[0.873743%]
Round[20]: Size[2071×1642], Iteration[11], Unexplained part[21044.274475], Percentage[24.719582%], delta%=[0.812592%]
Round[21]: Size[2071×1642], Iteration[12], Unexplained part[20294.985070], Percentage[23.839432%], delta%=[0.880150%]
Round[22]: Size[2071×3], Iteration[25], Unexplained part[20252.925218], Percentage[23.790026%], delta%=[0.049405%]
Round[23]: Size[2071×1642], Iteration[11], Unexplained part[19621.567178], Percentage[23.048404%], delta%=[0.741622%]
Round[24]: Size[2071×1642], Iteration[17], Unexplained part[18936.712887], Percentage[22.243942%], delta%=[0.804462%]
Round[25]: Size[2071×1642], Iteration[10], Unexplained part[18376.289784], Percentage[21.585643%], delta%=[0.658299%]
Round[26]: Size[2071×1642], Iteration[10], Unexplained part[17787.831351], Percentage[20.894413%], delta%=[0.691231%]
Round[27]: Size[2071×1642], Iteration[12], Unexplained part[17190.688673], Percentage[20.192981%], delta%=[0.701432%]
Round[28]: Size[2071×1642], Iteration[16], Unexplained part[16563.813110], Percentage[19.456624%], delta%=[0.736357%]
Round[29]: Size[2071×8], Iteration[27], Unexplained part[16531.091361], Percentage[19.418187%], delta%=[0.038436%]
Round[30]: Size[2071×1642], Iteration[11], Unexplained part[15984.506215], Percentage[18.776143%], delta%=[0.642044%]
Round[31]: Size[2071×1642], Iteration[10], Unexplained part[15469.261382], Percentage[18.170913%], delta%=[0.605231%]
