==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 85132.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[1.000000]
-------------------------------------------
Round[1]: Size[2071×1642], Iteration[50], Unexplained part[50009.323704], Percentage[58.743274%], delta%=[41.256726%]
Round[2]: Size[2071×1642], Iteration[50], Unexplained part[37625.203810], Percentage[44.196311%], delta%=[14.546962%]
Round[3]: Size[2071×6], Iteration[50], Unexplained part[37484.277442], Percentage[44.030773%], delta%=[0.165539%]
Round[4]: Size[2071×1642], Iteration[50], Unexplained part[34761.398857], Percentage[40.832353%], delta%=[3.198420%]
Round[5]: Size[2071×1642], Iteration[50], Unexplained part[32915.904149], Percentage[38.664549%], delta%=[2.167804%]
Round[6]: Size[2071×1642], Iteration[50], Unexplained part[31376.768766], Percentage[36.856609%], delta%=[1.807940%]
Round[7]: Size[2071×4], Iteration[50], Unexplained part[31194.405379], Percentage[36.642397%], delta%=[0.214213%]
Round[8]: Size[2071×1642], Iteration[50], Unexplained part[29897.032218], Percentage[35.118442%], delta%=[1.523955%]
Round[9]: Size[2071×13], Iteration[50], Unexplained part[29768.152866], Percentage[34.967055%], delta%=[0.151388%]
Round[10]: Size[2071×1642], Iteration[50], Unexplained part[28614.561472], Percentage[33.611993%], delta%=[1.355062%]
Round[11]: Size[2071×1642], Iteration[50], Unexplained part[27534.189751], Percentage[32.342938%], delta%=[1.269055%]
Round[12]: Size[2071×1642], Iteration[50], Unexplained part[26532.392784], Percentage[31.166181%], delta%=[1.176757%]
Round[13]: Size[2071×1642], Iteration[50], Unexplained part[25591.089480], Percentage[30.060482%], delta%=[1.105699%]
Round[14]: Size[2071×10], Iteration[50], Unexplained part[25491.293880], Percentage[29.943257%], delta%=[0.117225%]
Round[15]: Size[2071×1642], Iteration[50], Unexplained part[24646.365756], Percentage[28.950766%], delta%=[0.992492%]
Round[16]: Size[2071×1642], Iteration[50], Unexplained part[23797.501986], Percentage[27.953651%], delta%=[0.997115%]
Round[17]: Size[2071×1642], Iteration[50], Unexplained part[22997.892050], Percentage[27.014392%], delta%=[0.939259%]
Round[18]: Size[2071×13], Iteration[50], Unexplained part[22924.137510], Percentage[26.927756%], delta%=[0.086636%]
Round[19]: Size[2071×1642], Iteration[50], Unexplained part[22165.233192], Percentage[26.036312%], delta%=[0.891444%]
Round[20]: Size[2071×1642], Iteration[50], Unexplained part[21410.875698], Percentage[25.150209%], delta%=[0.886103%]
Round[21]: Size[2071×3], Iteration[50], Unexplained part[21378.950025], Percentage[25.112707%], delta%=[0.037501%]
Round[22]: Size[2071×11], Iteration[50], Unexplained part[21321.308437], Percentage[25.044999%], delta%=[0.067708%]
Round[23]: Size[2071×1642], Iteration[50], Unexplained part[20607.962952], Percentage[24.207070%], delta%=[0.837929%]
Round[24]: Size[2071×5], Iteration[50], Unexplained part[20562.076317], Percentage[24.153170%], delta%=[0.053901%]
Round[25]: Size[2071×1642], Iteration[50], Unexplained part[19850.155081], Percentage[23.316914%], delta%=[0.836256%]
Round[26]: Size[2071×1642], Iteration[50], Unexplained part[19222.984246], Percentage[22.580210%], delta%=[0.736704%]
Round[27]: Size[2071×1642], Iteration[50], Unexplained part[18567.791094], Percentage[21.810590%], delta%=[0.769620%]
Round[28]: Size[2071×11], Iteration[50], Unexplained part[18500.900033], Percentage[21.732016%], delta%=[0.078573%]
Round[29]: Size[2071×1642], Iteration[50], Unexplained part[17900.718084], Percentage[21.027015%], delta%=[0.705002%]
Round[30]: Size[2071×1642], Iteration[50], Unexplained part[17290.945044], Percentage[20.310747%], delta%=[0.716268%]
Round[31]: Size[2071×1642], Iteration[50], Unexplained part[16730.691629], Percentage[19.652647%], delta%=[0.658100%]
Round[32]: Size[2071×1642], Iteration[50], Unexplained part[16159.367438], Percentage[18.981543%], delta%=[0.671104%]
Round[33]: Size[2071×1642], Iteration[50], Unexplained part[15563.879536], Percentage[18.282056%], delta%=[0.699488%]
Round[34]: Size[2071×21], Iteration[50], Unexplained part[15505.172744], Percentage[18.213096%], delta%=[0.068960%]
Round[35]: Size[2071×1642], Iteration[50], Unexplained part[14961.471910], Percentage[17.574440%], delta%=[0.638656%]
Round[36]: Size[2071×1642], Iteration[50], Unexplained part[14441.710106], Percentage[16.963903%], delta%=[0.610536%]
Round[37]: Size[2071×1642], Iteration[50], Unexplained part[13947.585490], Percentage[16.383482%], delta%=[0.580422%]
Round[38]: Size[2071×1642], Iteration[50], Unexplained part[13430.344398], Percentage[15.775906%], delta%=[0.607575%]
Round[39]: Size[2071×1642], Iteration[50], Unexplained part[12977.640797], Percentage[15.244139%], delta%=[0.531767%]
Round[40]: Size[2071×1642], Iteration[50], Unexplained part[12528.471541], Percentage[14.716524%], delta%=[0.527615%]
Round[41]: Size[2071×7], Iteration[50], Unexplained part[12507.092810], Percentage[14.691412%], delta%=[0.025112%]
Round[42]: Size[2071×1642], Iteration[50], Unexplained part[12023.494170], Percentage[14.123355%], delta%=[0.568057%]
Round[43]: Size[2071×1642], Iteration[50], Unexplained part[11572.754456], Percentage[13.593895%], delta%=[0.529460%]
Round[44]: Size[2071×1642], Iteration[50], Unexplained part[11086.494521], Percentage[13.022711%], delta%=[0.571183%]
Round[45]: Size[2071×1642], Iteration[50], Unexplained part[10652.780513], Percentage[12.513251%], delta%=[0.509461%]
Round[46]: Size[2071×3], Iteration[50], Unexplained part[10624.845620], Percentage[12.480437%], delta%=[0.032814%]
Round[47]: Size[2071×1642], Iteration[50], Unexplained part[10160.541103], Percentage[11.935043%], delta%=[0.545394%]
Round[48]: Size[2071×1642], Iteration[50], Unexplained part[9727.249463], Percentage[11.426079%], delta%=[0.508964%]
Round[49]: Size[2071×1642], Iteration[50], Unexplained part[9280.542658], Percentage[10.901356%], delta%=[0.524723%]
Round[50]: Size[2071×1642], Iteration[50], Unexplained part[8858.632337], Percentage[10.405761%], delta%=[0.495595%]
Round[51]: Size[2071×3], Iteration[50], Unexplained part[8842.923618], Percentage[10.387309%], delta%=[0.018452%]
Round[52]: Size[2071×1642], Iteration[50], Unexplained part[8462.707801], Percentage[9.940690%], delta%=[0.446619%]
Round[53]: Size[2071×1642], Iteration[50], Unexplained part[8043.032179], Percentage[9.447719%], delta%=[0.492970%]
Round[54]: Size[2071×1642], Iteration[50], Unexplained part[7626.323135], Percentage[8.958233%], delta%=[0.489486%]
Round[55]: Size[2071×1642], Iteration[50], Unexplained part[7234.756419], Percentage[8.498281%], delta%=[0.459952%]
