==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 85132.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.800000]
-------------------------------------------
Round[1]: Size[2071×1642], Iteration[50], Unexplained part[50009.323704], Percentage[58.743274%], delta%=[41.256726%]
Round[2]: Size[2071×1642], Iteration[50], Unexplained part[37625.203810], Percentage[44.196311%], delta%=[14.546962%]
Round[3]: Size[2071×7], Iteration[50], Unexplained part[37445.633237], Percentage[43.985379%], delta%=[0.210932%]
Round[4]: Size[2071×1642], Iteration[50], Unexplained part[34735.916556], Percentage[40.802420%], delta%=[3.182959%]
Round[5]: Size[2071×1642], Iteration[50], Unexplained part[32874.684539], Percentage[38.616131%], delta%=[2.186290%]
Round[6]: Size[2071×1642], Iteration[50], Unexplained part[31319.155821], Percentage[36.788935%], delta%=[1.827196%]
Round[7]: Size[2071×3], Iteration[50], Unexplained part[31296.057981], Percentage[36.761803%], delta%=[0.027132%]
Round[8]: Size[2071×1642], Iteration[50], Unexplained part[30023.506544], Percentage[35.267005%], delta%=[1.494798%]
Round[9]: Size[2071×3], Iteration[50], Unexplained part[29985.498837], Percentage[35.222359%], delta%=[0.044646%]
Round[10]: Size[2071×1642], Iteration[50], Unexplained part[28805.350518], Percentage[33.836102%], delta%=[1.386257%]
Round[11]: Size[2071×1642], Iteration[50], Unexplained part[27689.934236], Percentage[32.525882%], delta%=[1.310220%]
Round[12]: Size[2071×1642], Iteration[50], Unexplained part[26699.120696], Percentage[31.362027%], delta%=[1.163856%]
Round[13]: Size[2071×1642], Iteration[50], Unexplained part[25830.428700], Percentage[30.341621%], delta%=[1.020406%]
Round[14]: Size[2071×11], Iteration[50], Unexplained part[25733.566423], Percentage[30.227842%], delta%=[0.113779%]
Round[15]: Size[2071×16], Iteration[50], Unexplained part[25582.053947], Percentage[30.049868%], delta%=[0.177974%]
Round[16]: Size[2071×1642], Iteration[50], Unexplained part[24697.371323], Percentage[29.010679%], delta%=[1.039189%]
Round[17]: Size[2071×1642], Iteration[50], Unexplained part[23877.672444], Percentage[28.047823%], delta%=[0.962856%]
Round[18]: Size[2071×3], Iteration[50], Unexplained part[23846.855541], Percentage[28.011624%], delta%=[0.036199%]
Round[19]: Size[2071×1642], Iteration[50], Unexplained part[23051.752418], Percentage[27.077659%], delta%=[0.933965%]
Round[20]: Size[2071×1642], Iteration[50], Unexplained part[22281.090956], Percentage[26.172404%], delta%=[0.905255%]
Round[21]: Size[2071×3], Iteration[50], Unexplained part[22243.313792], Percentage[26.128029%], delta%=[0.044375%]
Round[22]: Size[2071×3], Iteration[50], Unexplained part[22217.519041], Percentage[26.097729%], delta%=[0.030300%]
Round[23]: Size[2071×1642], Iteration[50], Unexplained part[21445.130214], Percentage[25.190446%], delta%=[0.907284%]
Round[24]: Size[8×5], Iteration[0], Unexplained part[21445.130214], Percentage[25.190446%], delta%=[0.000000%]
Round[25]: Size[2071×1642], Iteration[50], Unexplained part[20691.570660], Percentage[24.305280%], delta%=[0.885166%]
Round[26]: Size[2071×1642], Iteration[50], Unexplained part[20068.219801], Percentage[23.573063%], delta%=[0.732217%]
Round[27]: Size[2071×1642], Iteration[50], Unexplained part[19382.071752], Percentage[22.767081%], delta%=[0.805981%]
Round[28]: Size[2071×1642], Iteration[50], Unexplained part[18755.062603], Percentage[22.030567%], delta%=[0.736514%]
Round[29]: Size[2071×8], Iteration[50], Unexplained part[18716.603042], Percentage[21.985391%], delta%=[0.045176%]
Round[30]: Size[2071×1642], Iteration[50], Unexplained part[18082.488015], Percentage[21.240530%], delta%=[0.744861%]
Round[31]: Size[2071×1642], Iteration[50], Unexplained part[17444.935260], Percentage[20.491631%], delta%=[0.748899%]
Round[32]: Size[2071×1642], Iteration[50], Unexplained part[16863.039304], Percentage[19.808109%], delta%=[0.683522%]
Round[33]: Size[2071×1642], Iteration[50], Unexplained part[16262.148587], Percentage[19.102275%], delta%=[0.705834%]
Round[34]: Size[2071×22], Iteration[50], Unexplained part[16185.608940], Percentage[19.012368%], delta%=[0.089907%]
Round[35]: Size[2071×17], Iteration[50], Unexplained part[16145.532471], Percentage[18.965292%], delta%=[0.047076%]
Round[36]: Size[2071×1642], Iteration[50], Unexplained part[15556.039675], Percentage[18.272846%], delta%=[0.692446%]
Round[37]: Size[2071×3], Iteration[50], Unexplained part[15517.895104], Percentage[18.228040%], delta%=[0.044806%]
Round[38]: Size[2071×1642], Iteration[50], Unexplained part[14942.699878], Percentage[17.552389%], delta%=[0.675651%]
Round[39]: Size[2071×1642], Iteration[50], Unexplained part[14401.963839], Percentage[16.917215%], delta%=[0.635174%]
Round[40]: Size[2071×1642], Iteration[50], Unexplained part[13897.566213], Percentage[16.324727%], delta%=[0.592489%]
Round[41]: Size[2071×7], Iteration[50], Unexplained part[13866.043970], Percentage[16.287699%], delta%=[0.037027%]
Round[42]: Size[2071×4], Iteration[50], Unexplained part[13821.302451], Percentage[16.235144%], delta%=[0.052555%]
Round[43]: Size[2071×1642], Iteration[50], Unexplained part[13340.721794], Percentage[15.670631%], delta%=[0.564512%]
Round[44]: Size[2071×1642], Iteration[50], Unexplained part[12871.440531], Percentage[15.119392%], delta%=[0.551240%]
Round[45]: Size[4×5], Iteration[0], Unexplained part[12871.440531], Percentage[15.119392%], delta%=[0.000000%]
Round[46]: Size[2071×1642], Iteration[50], Unexplained part[12393.236713], Percentage[14.557671%], delta%=[0.561720%]
Round[47]: Size[2071×1642], Iteration[50], Unexplained part[11911.480958], Percentage[13.991779%], delta%=[0.565893%]
Round[48]: Size[2071×1642], Iteration[50], Unexplained part[11450.462412], Percentage[13.450245%], delta%=[0.541534%]
Round[49]: Size[2071×1642], Iteration[50], Unexplained part[10989.839371], Percentage[12.909176%], delta%=[0.541069%]
Round[50]: Size[2071×1642], Iteration[50], Unexplained part[10554.264889], Percentage[12.397530%], delta%=[0.511646%]
Round[51]: Size[2071×1642], Iteration[50], Unexplained part[10069.877115], Percentage[11.828545%], delta%=[0.568984%]
Round[52]: Size[2071×1642], Iteration[50], Unexplained part[9642.782864], Percentage[11.326860%], delta%=[0.501685%]
Round[53]: Size[2071×3], Iteration[50], Unexplained part[9615.492935], Percentage[11.294804%], delta%=[0.032056%]
Round[54]: Size[2071×1642], Iteration[50], Unexplained part[9209.465177], Percentage[10.817865%], delta%=[0.476939%]
Round[55]: Size[2071×1642], Iteration[50], Unexplained part[8785.582165], Percentage[10.319953%], delta%=[0.497913%]
Round[56]: Size[2071×1642], Iteration[50], Unexplained part[8359.015128], Percentage[9.818887%], delta%=[0.501065%]
Round[57]: Size[2071×1642], Iteration[50], Unexplained part[7950.242582], Percentage[9.338724%], delta%=[0.480163%]
Round[58]: Size[2071×3], Iteration[50], Unexplained part[7931.288213], Percentage[9.316459%], delta%=[0.022265%]
Round[59]: Size[2071×1642], Iteration[50], Unexplained part[7526.119587], Percentage[8.840530%], delta%=[0.475930%]
Round[60]: Size[2071×1642], Iteration[50], Unexplained part[7155.015966], Percentage[8.404614%], delta%=[0.435916%]
Round[61]: Size[2071×1642], Iteration[50], Unexplained part[6761.287924], Percentage[7.942123%], delta%=[0.462491%]
Round[62]: Size[2071×1642], Iteration[50], Unexplained part[6348.665164], Percentage[7.457437%], delta%=[0.484686%]
Round[63]: Size[2071×1642], Iteration[50], Unexplained part[5962.138863], Percentage[7.003405%], delta%=[0.454032%]
Round[64]: Size[2071×9], Iteration[50], Unexplained part[5935.363106], Percentage[6.971953%], delta%=[0.031452%]
Round[65]: Size[2071×1642], Iteration[50], Unexplained part[5505.753352], Percentage[6.467314%], delta%=[0.504640%]
Round[66]: Size[2071×1642], Iteration[50], Unexplained part[5087.161172], Percentage[5.975616%], delta%=[0.491698%]
Round[67]: Size[2071×3], Iteration[50], Unexplained part[5077.430568], Percentage[5.964186%], delta%=[0.011430%]
